ticker,date,open,high,low,close,volume,vwap,timestamp,transactions
AMZN,2026-01-07,239.61,245.29,239.52,241.56,42236531,242.9662,1767762000000,623031
AMZN,2026-01-08,243.06,246.41,241.88,246.29,39509844,245.188,1767848400000,537907
AMZN,2026-01-09,244.568,247.86,242.24,247.38,34559961,246.0666,1767934800000,487691
AMZN,2026-01-12,246.73,248.94,245.96,246.47,35867770,247.2996,1768194000000,520852
AMZN,2026-01-13,246.53,247.66,240.25,242.6,38371778,243.3866,1768280400000,559247
AMZN,2026-01-14,241.15,241.28,236.22,236.65,41410578,237.6446,1768366800000,582230
AMZN,2026-01-15,239.31,240.65,236.63,238.18,43003571,238.3037,1768453200000,567069
AMZN,2026-01-16,239.085,239.57,236.41,239.12,45888283,238.4963,1768539600000,424842
AMZN,2026-01-20,233.76,235.09,229.34,231.0,47737854,231.9376,1768885200000,749010
AMZN,2026-01-21,231.085,232.3,226.88,231.31,47276090,230.275,1768971600000,654920
AMZN,2026-01-22,234.045,235.72,230.9,234.34,31913325,234.0045,1769058000000,447829
AMZN,2026-01-23,234.955,240.45,234.57,239.16,33778478,238.6065,1769144400000,482481
AMZN,2026-01-26,239.98,240.95,237.54,238.42,32825530,239.0048,1769403600000,450743
AMZN,2026-01-27,239.685,244.88,238.08,244.68,38029216,242.5484,1769490000000,534761
AMZN,2026-01-28,246.365,247.775,241.53,243.01,40882657,243.7026,1769576400000,562838
AMZN,2026-01-29,242.82,243.0,236.742,241.73,47229643,239.9506,1769662800000,645863
AMZN,2026-01-30,239.89,243.315,237.64,239.3,46585024,240.1518,1769749200000,585809
